question_text,category,correct_answer,incorrect_answer1,incorrect_answer2,incorrect_answer3,
How do network adapters move large files over a computer network and make sure they don’t block other data?,Cloud Computing,"They divide the large files into smaller packets at the source, send them over the network, and then reassemble them into the same order as the original file at the destination.",They use packets to notify all computers on the network to pause communication before sending large files.,They send large files overnight when the network is less busy sending packets.,They use disks or thumb drives to transport large files.,
You are streaming your favorite show on your smart television. Your television receives several packets of the show video data and some metadata. What does the networking hardware use the metadata to do?,Cloud Computing,"
Reassemble the packets into the original file in the right order.",Connect the packet to the one before it and the one that follows it.,Create subtitles for the show.,Provide the soundtrack for the show.,
What is the smallest unit of measurement that computer scientists use when measuring data?,Cloud Computing,Bit,Byte,Yottabyte,Kilobyte,
How does cloud computing improve on the early internet server model?,Cloud Computing,By separating server features into distinct functions and using specially designed and dedicated servers to perform them.,By splitting all network traffic over many small servers running under people’s desks.,By splitting files into smaller packets before transmitting them between servers.,"By delivering all the services a website needed, like storage, networking, and security, all on one server.",
What feature of computer networks ensures that your device transmits the information in an email correctly and efficiently to the device of the recipient?,Cloud Computing,Network protocols,"Cables, fiber optics, and wireless signals","Routers, switches, and hubs",Data,
Why do networks divide large files into smaller packets and then reassemble them into the original file at the destination?,Cloud Computing,To avoid blocking the network with a large file,To avoid exceeding the file size limit on the network,To reduce each file to one byte in size,To add metadata to the file,
Which component of the cloud helps ensure that cloud systems can move data quickly and accurately over the internet?,Cloud Computing,Networking devices,Physical computers,Management software,Service software,
"Tom is a network administrator who is responsible for provisioning resources, monitoring usage, and enforcing security policies for his company’s cloud. Which component of the cloud can he use?",Cloud Computing,Management software,Physical computers,Networking devices,Virtual computers,
What is the primary role of a data center?,Cloud Computing,To provide a secure and controlled environment for the reliable operation of cloud infrastructure,To provide one high-powered computer per website to host web pages and store files,"
To provide a space for computer scientists to enter data into many computers for search engines to use",To provide a space to convert historical paper-based documents into digital records,
Swift Auto Solutions is a national car rental company that recently started using cloud applications such as natural language processing (NLP) and image recognition into its new chatbot. They aim to help customers get fast answers to their car rental questions. Which of the following statements reflects a benefit the business can expect from using cloud services?,Cloud Computing,"The customer service process should be easier, faster, and more reliable for customers and the business.",The network administrators should expect a reduction in the number of computers the business needs to store data.,The customer service process should be more involved and less automated for customers and the business.,"
The customer service process should experience a reduction in the number of customer questions.",
Why do cloud providers have data centers located all over the world?,Cloud Computing,To improve speed and reliability for users,To support different time zones,"
To spread the power consumption across multiple locations",To enable different countries to access websites in their own languages,
"Harjeet uploads a presentation to the cloud from his desktop at work. Later, at home, he accesses the file from his work laptop to make a few changes. The next day, before his presentation, he uses his work cell phone to open the file again to review the presentation. What characteristic of cloud computing is demonstrated by this scenario?",Cloud Computing,Availability,Access management,Elasticity,Flexibility,
"FortuneFirst Financial Group is using the cloud to break down their payment processing system into smaller, independent parts that can do specific jobs of the process, such as payment authorization, fraud detection, and transaction processing. This is an example of which cloud service?",Cloud Computing,Workloads,Apps,Performance,Connected devices,
"Cloud computing distributes the functions of computing hardware over hundreds and, in most cases, thousands of computers, which enables users to use as much or as little power as they need when they need it. What do computer engineers call this characteristic of cloud computing?",Cloud Computing,Scalability,Agility,Specifications,Resilience,
Which cloud service enables you to set up one account with many cloud providers to gain access to a variety of software and services?,Cloud Computing,Single sign-on,Cloud storage,Apps,Performance,
A number of organizations have adopted work-from-home policies. What user benefit of the cloud enables remote work and lets users easily collaborate with others?,Cloud Computing,Flexibility,Security,Innovation,Cost savings ,
A large data center is upgrading their graphics processing units (GPUs) to decrease the time it takes to run intensive calculations like image recognition and improve performance for certain types of jobs. What improvement in computer technology is this an example of?,Cloud Computing,Increasing processing power,Reducing component size,Increasing the use of containers,Improving efficiency,
"Pablo just added smart lightbulbs and a robot vacuum to his home. Using his smartwatch, he can automate when the lightbulbs turn on and where his robot vacuum will clean. He can even tell his home voice assistant to turn off his lights. Which of the following types of technology provides this control to Pablo?",Cloud Computing,Internet of Things (IoT),Quantum computing,5G,Blockchain,
Which of the following emerging technologies will be able to process information billions of times faster than today’s computers?,Cloud Computing,Quantum computing,Blockchain,Internet of Things (IoT),AI and NLP,
Fill in the blank. Cloud developers can use a lightweight form of virtualization technology called __________ to reduce costs and make their applications faster.,Cloud Computing,containers,network virtualization,protocols,serverless computers,
Which of the following advancements in technology involves processing data close to where it is generated to improve application performance and reduce delays?,Cloud Computing,Edge computing,Intent-based networking,Serverless computing,Blockchain,
What key area of cloud computing advancements will make the cloud more efficient as technology increases computing power while consuming less electrical power? ,Cloud Computing,Computer technology,Virtualization technology   ,Network technology,Data center technology,
Imagine that you’ve recently accepted an information technology (IT) job with a team that focuses on cloud computing at a small company. What role does the data center play in the use of cloud computing for your new company? ,Cloud Computing,"The data center enables your company to store and process vast amounts of data, run complex applications, and provide reliable connectivity to employees.",The data center enables your IT team to automate the internal IT support workflow. ,"The data center creates a centralized, on location, physical data storage for the company.  ","The data center enables the use of personal assistants, like Siri, for the employees to use.",
FJ Bank uses a cloud service provider that has robust and effective measures to protect their customers’ financial data. What user benefit of the cloud describes the protection offered by the cloud service provider? ,Cloud Computing,Security,Convenience,Cost savings,Reliability,
Which of the following technologies enables even the smallest devices like lightbulbs and watches to connect to the cloud? ,Cloud Computing,Internet of Things (IoT) ,Artificial intelligence ,Quantum computing ,"5G, Wi-Fi 6, and beyond ",
Imagine that you’re using cloud technology to enhance your internet at home. Which component of the cloud can you use to ensure that cloud systems move your data quickly and accurately over the internet?,Cloud Computing,Networking devices ,Management software ,Virtual computers,Services software,
"Fill in the blank. Using ___________ as a cloud service, you can set up one account with multiple cloud providers and gain access to a variety of software. ",Cloud Computing,single sign-on ,data centers,performance,connected devices,
Imagine that you’ve recently accepted an information technology (IT) job with a team that focuses on cloud computing at a small company. What role does the data center play in the use of cloud computing for your new company?  ,Cloud Computing,"
The data center enables your company to store and process vast amounts of data, run complex applications, and provide reliable connectivity to employees.",The data center enables your IT team to automate the internal IT support workflow.   ,"The data center enables the use of personal assistants, like Siri, for the employees to use.   ","The data center creates a centralized, on location, physical data storage for the company. ",
